operator_name,total_cap_mw,num_states,sector_name,avg_capacity_factor_2024,capacity_factor_trend,market_share_pct
OEE XXVIII LLC,4.5,1,Industrial NAICS Non-Cogen,0.1429872495446266,0.0243624772313297,0.003621559199861724
OEE XXX LLC,4.5,1,Industrial NAICS Non-Cogen,0.09820886460230722,-0.01732948795790326,0.003621559199861724
OEE XXIII LLC,4.5,1,Industrial NAICS Non-Cogen,0.1429872495446266,-0.09535013155231734,0.003621559199861724
"OEE XIX, LLC",4.5,1,Industrial NAICS Non-Cogen,0.16833636915604128,-0.11275551507791948,0.003621559199861724
Air Force Civil Engineer Center,4.5,1,NAICS-22 Non-Cogen,0.24521857923497267,0.012396276057478228,0.003621559199861724
OEE XXVI LLC,4.5,1,NAICS-22 Non-Cogen,0.16218882817243474,-0.10493827160493824,0.003621559199861724
"WED Coventry Two, LLC",4.5,1,NAICS-22 Non-Cogen,0.16914592187816233,-0.08953147136207243,0.003621559199861724
Fox Island Wind LLC,4.5,1,NAICS-22 Non-Cogen,0.19328071240639547,-0.05542906294272415,0.003621559199861724
Cooper Hatchery Inc.,4.5,1,Industrial NAICS Non-Cogen,0.32268265533292856,-0.010650678000404756,0.003621559199861724
Haviland Plastic Products Co,4.5,1,Industrial NAICS Non-Cogen,0.32612325440194295,-0.0011384335154826508,0.003621559199861724
CPV Beaver Ridge Wind LLC,4.5,1,NAICS-22 Non-Cogen,0.2621432908318154,,0.003621559199861724
Gamesa Wind US LLC,4.25,1,NAICS-22 Non-Cogen,0.06332369013179043,-0.2963141540769313,0.003420361466536073
Willmar Municipal Utilities,4.0,1,Electric Utility,0.08839936247723133,-0.013461976320582866,0.0032191637332104218
Fort Hays State University,4.0,1,Commercial NAICS Non-Cogen,0.36270491803278687,-0.07843806921675778,0.0032191637332104218
"Community Renewables, LLC",3.8,1,NAICS-22 Non-Cogen,0.00826862237561116,-0.16573195283290196,0.0030582055465499
"Foundation CA Fund VIII Manager, LLC",3.7,1,NAICS-22 Non-Cogen,0.26420888101215967,0.016153448530497716,0.0029777264532196398
West Texas A&M University,3.57,1,Commercial NAICS Non-Cogen,0.2807179338037583,-0.05813345374579704,0.002873103631890301
US Air Force,3.36,1,Commercial NAICS Non-Cogen,0.15690730982739182,-0.13539227166276346,0.002704097535896754
Henkel U.S. Operations Corporation,3.3,1,Industrial NAICS Non-Cogen,0.06468372247060772,,0.0026558100798985975
Dept of Corrections NCCI Wind,3.3,1,Commercial NAICS Non-Cogen,0.17021305955732188,0.02194071866203015,0.0026558100798985975
Carleton College,3.25,1,Commercial NAICS Non-Cogen,0.29613282891971415,0.02672691607117833,0.002615570533233467
"NextEra Renewable Fuels, LLC",3.2,1,NAICS-22 Non-Cogen,0.12170565801457194,,0.002575330986568337
"WED Shun III, LLC",3.0,1,NAICS-22 Non-Cogen,0.2519353369763206,-0.017987249544626605,0.002414372799907816
"WED Plainfield II, LLC",3.0,1,NAICS-22 Non-Cogen,0.22210837887067394,-0.033925318761384354,0.002414372799907816
"WED Green Hill, LLC",3.0,1,NAICS-22 Non-Cogen,0.237894656952034,-0.006223436551305417,0.002414372799907816
"WED Plainfield III, LLC",3.0,1,NAICS-22 Non-Cogen,0.2321265938069217,-0.010549483910139629,0.002414372799907816
Aeolus Wind LLC,3.0,1,NAICS-22 Non-Cogen,0.0,-0.04181845780206436,0.002414372799907816
Town of Princeton - (MA),3.0,1,Electric Utility,0.13964784456587737,-0.017190346083788693,0.002414372799907816
"WED Plainfield, LLC",3.0,1,NAICS-22 Non-Cogen,0.22935640558591378,-0.028233151183970878,0.002414372799907816
Fairhaven Wind LLC,3.0,1,NAICS-22 Non-Cogen,0.1398755312689739,-0.08037340619307831,0.002414372799907816
Findlay Wind Farm,3.0,1,Industrial NAICS Non-Cogen,0.18954918032786885,-0.10196569520340013,0.002414372799907816
"WED Shun I, LLC",3.0,1,NAICS-22 Non-Cogen,0.24009562841530055,-0.051988463873709784,0.002414372799907816
Lime Wind LLC,3.0,1,NAICS-22 Non-Cogen,0.20229963570127504,0.0012902246508803838,0.002414372799907816
Bluestem LLC,3.0,1,NAICS-22 Non-Cogen,0.36835913782635094,-0.013623254401942952,0.002414372799907816
City of Geneseo - (IL),3.0,1,Electric Utility,0.22647237401335762,0.004288099574984827,0.002414372799907816
OEE XXV LLC,3.0,1,Industrial NAICS Non-Cogen,0.13554948391013966,-0.14518822100789314,0.002414372799907816
"WED Shun II, LLC",3.0,1,NAICS-22 Non-Cogen,0.24518063145112326,-0.020377959927140227,0.002414372799907816
"S.C. Johnson & Son, Inc.",3.0,1,Industrial NAICS Cogen,0.18514723740133576,-0.08507893139040679,0.002414372799907816
Kotzebue Electric Assn Inc,2.735,1,Electric Utility,0.11854693426306098,-0.04724395027688702,0.0022011032025826254
Waverly Municipal Elec Utility,2.7,1,Electric Utility,0.27389867098428117,0.01998583282736288,0.0021729355199170343
Nome Joint Utility Systems,2.55,1,Electric Utility,0.06589521054323369,-0.04049251758991394,0.0020522168799216437
FPC Services Inc.,2.5,1,NAICS-22 Non-Cogen,0.327959927140255,0.04322222222222222,0.0020119773332565134
Regents of the University of Minnesota,2.5,1,NAICS-22 Non-Cogen,0.1168032786885246,-0.008196721311475405,0.0020119773332565134
Kirkwood Community College,2.5,1,NAICS-22 Non-Cogen,0.0,-0.11033697632058288,0.0020119773332565134
Lincoln Electric Company,2.5,1,Industrial NAICS Non-Cogen,0.1540983606557377,-0.02249544626593808,0.0020119773332565134
Hull Municipal Light Plant,2.46,1,Electric Utility,0.0,-0.14804263479793267,0.001979785695924409
Adams Electric Cooperative,2.4,1,Electric Utility,4.7434729811778997e-05,-0.1354735883424408,0.0019314982399262527
City of Algona - (IA),2.25,1,Electric Utility,0.23178506375227687,-0.027524792552114985,0.001810779599930862
